学科,题干,标准答案,选项A,选项B,选项C,选项D,选项E
中医儿科学,从出生后至满1周岁，称为,D,胎儿期,围生期,新生儿期,婴儿期,幼儿期
中医儿科学,胎儿期体重增长快的阶段是,E,妊娠早期4周,妊娠早期12周,妊娠中期10周,妊娠中期l5周,妊娠晚期13周
中医儿科学,胎儿期易发生先天畸形的是,B,妊娠早期4周,妊娠早期12周,妊娠中期10周,妊娠中期15周,妊娠晚期13周
中医儿科学,学龄前期起于,B,1周岁,3周岁后,2周岁,4周岁后,满5周岁
中医儿科学,身高增长的第二个高峰在,E,婴儿期,幼儿期,学龄前期,学龄期,青春期
中医儿科学,新生儿体重约为,C,1kg,2kg,3kg,5kg,7kg
中医儿科学,按公式计算，3岁小儿的身高应为,D,70cm,81cm,85cm,91cm,100cm
中医儿科学,前囟关闭的时间为出生后,D,2～4个月,4～6个月,6～12个月,12～18个月,18～24个月
中医儿科学,小儿“纯阳”之体的含义是,D,纯阳无阴,阳常有余,阴亏阳亢,发育迅速,肝常有余
中医儿科学,小儿为纯阳之体，伤于外邪以热性病证为多，其原因是六气易于化,D,湿,寒,燥,火,风
中医儿科学,小儿摄入的食物要软而易消化，饮食有常、有节，否则易出现食积、吐泻的原因主要是,D,肝常有余,心常有余,肺常不足,脾常不足,肾常虚
中医儿科学,小儿易产生感冒、咳喘，原因主要是,B,脾常不足,肺脏娇嫩,肾常虚,稚阳未充,稚阴未长
中医儿科学,小儿易受惊吓，原因主要是,D,肺脏娇嫩,脾常不足,肾常虚,心神怯弱,稚阴未长
中医儿科学,小儿缺乏卫生知识，易于误食一些被污染的食物，引发,E,咳喘,水肿,紫癜,厌食,吐泻
中医儿科学,儿科发病率居于第二位的是,D,肺系病证,心系病证,肝系病证,脾系病证,肾系病证
中医儿科学,面呈红色，多为,A,热证,寒证,瘀证,实证,虚证
中医儿科学,诊断小儿疾病，特别重要的诊查方法是,E,按诊,脉诊,问诊,闻诊,望诊
中医儿科学,腹部膨大，肢体瘦弱，发稀，额上青筋显现，多为,C,积滞,厌食,疳积,泄泻,五迟
中医儿科学,肺气闭郁的鼻诊特点是,E,鼻塞流涕,鼻孔出血,鼻孔干燥,鼻涕浊臭,鼻翼煽动
中医儿科学,小儿血证可闻及的口气为,B,臭秽,腥臭,臭腐,酸腐,酸腐而臭
中医儿科学,正常小儿脉象平和，较成人,D,浮而稍数,弦而稍数,浮而稍缓,软而稍数,浮而稍弦
中医儿科学,新生儿中药用量应为成人量的,A,1月6日,1月3日,1月2日,2月3日,等量
中医儿科学,乳婴儿中药用量应为成人量的,B,1月6日,1月3日,1月2日,1／2～2／3,等量
中医儿科学,培元补肾法常用于治疗,A,五迟五软,肺炎喘嗽,幼儿急疹,手足口病,脐血脐突
中医儿科学,麻疹初期透疹可用下列那位药加黄酒洒擦洗皮肤,A,生麻黄,香薷,五倍子,石榴皮,香樟木
中医儿科学,治疗寒喘，宜选用以下哪味药捣烂外敷肺俞穴,C,麻黄,附子,白芥子,西河柳,吴茱萸
中医儿科学,治疗痄腮，宜选用以下哪味药捣烂外敷腮部,A,马齿苋,延胡索,白芥子,吴茱萸,芫荽子
中医儿科学,以下除哪项外，均为儿科推拿疗法的作用,D,神气安定,经络畅通,气血循行,凉血止血,脏腑调和
中医儿科学,"患儿，2岁。经常发生惊惕、抽风等症,其病位在",D,肺,脾,心,肝,肾
中医儿科学,患儿，12个月。体重10kg，身长65cm，前囟近闭，乳牙7个，不会摆放积木。其中不正常的是,B,体重,身长,前囟,乳牙萌出,精细运动
中医儿科学,患儿，3岁。体重10kg。以下诊断中可能性最大的是,E,佝偻病,肥胖症,侏儒症,解颅,营养不良
中医儿科学,患儿，5个月。前囟、后囟均未闭合。其囟门闭合情况评价为,C,均正常,均不正常,前囟正常，后囟不正常,前囟不正常，后囟正常,需联系头围情况确定是否正常
中医儿科学,患儿18个月。乳牙未萌出。以下诊断中可能性最大的是,A,佝偻病,龋齿,解颅,肥胖症,脑发育不良
中医儿科学,患儿，半岁。骤闻异声后，夜里啼哭1个月，每夜发作3～5分钟。其病因是,C,感受外邪,伤乳因素,惊恐因素,环境污染,胎产因素
中医儿科学,患儿，3岁。吃瓜子时误吸入气管引起窒息。其病因是,D,乳食因素,先天因素,情志因素,意外因素,其他因素
中医儿科学,患儿，5岁。舌苔花剥，经久不愈，状如“地图”。病机多为,D,脾之气阳虚弱,肺脾气阴亏虚,乳食积滞内停,胃之气阴不足,寒湿生冷内停
中医儿科学,患儿，2岁。发热3～4天出疹，疹形细小，状如麻粒，口腔黏膜出现“麻疹黏膜斑”者，为,C,口疮,鹅口疮,麻疹,痄腮,发颐
中医儿科学,患儿，10个月。大便呈果酱色，伴阵发性哭吵，腹胀。其诊断是,E,痢疾,肠炎,积滞,虫积,肠套叠
中医儿科学,患儿，10个月。指纹纹色青紫，多为,E,气血不足,疼痛惊风,体虚有寒,寒湿阻滞,瘀热内结
中医儿科学,患儿，6岁。睡中遗尿，每夜1～2次，甚则数次，醒后方觉。伴面色苍白，神疲乏力，肢凉怕冷，腰腿酸软，下肢无力，小便清长，舌质较淡。其治法是,C,益气固摄,补肺健脾,培元补肾,健脾益气,固涩小便
中医儿科学,小儿生长发育最快的时期是,B,新生儿期,婴儿期,幼儿期,学龄前期,学龄期
