标准答案,题干,选项A,选项B,选项C,选项D,选项E,,,
C,足太阴脾经与手少阴心经的交接位置是,胸中,肺中,心中,目内眦,足大趾,,,
E,津液的丢失往往伴有气的损耗，说明二者的关系是,气能行津,气能摄津,气能生津,津能生气,津能载气,,,
C,木为火之,所不胜,相克,母,子,所胜,,,
C,以下属于奇经八脉生理功能的是,加强了十二经脉中互为表里的两经之间的联系,主束骨而利机关,调节十二经脉的气血,分主一身左右之阴阳,加强了足三阴、足三阳经脉与心脏的联系,,,
E,以下病机哪项是以阴阳失调来阐释真寒假热或真热假寒的,阴阳互损,阴阳离决,阴阳偏盛,阴阳偏衰,阴阳格拒,,,
B,下列哪项是“大实有羸状”的病机,邪实正虚，正气无力祛除病邪,实邪结聚于里，气血不能畅达于外,阴虚邪恋，余热不退,内生五邪兼正气不足,邪气侵袭，伤及营卫气血,,,
D,具有调控腠理作用的气是,元气,宗气,营气,卫气,脏腑之气,,,
E,下列选项中属于“用寒远寒”治疗法则的是,阳虚证慎用寒凉药物,真寒假热证慎用寒凉药物,真热假寒证慎用寒凉药物,阳虚之人慎用寒凉药物,寒冬季节慎用寒凉药物,,,
A,痰饮流注于经络，则可见,肢体麻木,恶心呕吐,胸闷心痛,胸闷气喘,胸胁胀满,,,
A,精血同源是指,肝肾同源,心肾同源,脾胃同源,脾肾同源,心脾同源,,,
E,下列表述不正确的是,肾之华在发,肝之华在爪,脾之华在唇,肺之华在毛,心之华在舌,,,
D,“土”所不胜者为,火,土,水,木,金,,,
D,哪项能说明肾中精气的主要生理功能,人体生命活动的根本,促进生殖功能的成熟,化生血液的物质基础,主生长发育和生殖,促进机体的生长发育,,,
A,燥湿相济体现了,脾与胃的关系,肺与大肠的关系,肝与胆的关系,心与小肠的关系,肾与膀胱的关系,,,
E,与气机升降调节关系密切的两脏是,心与肺,心与肾,肺与脾,脾与肝,肺与肝,,,
C,在气的生成和水液代谢方面关系密切的是,心与肺,心与肾,肺与脾,脾与肝,肺与肝,,,
A,六淫致病，具有发病急、传变较快特点的邪气是,风邪,寒邪,湿邪,燥邪,火邪,,,
B,“五脏六腑之海”指的是,脾,胃,大肠,小肠,三焦,,,
C,富有营养，性质精纯的气是,元气,宗气,营气,卫气,脏腑之气,,,
E,下列说法错误的是,津质地清稀,液质地稠厚,津起滋润作用,液起濡养作用,津主要分布于骨节、脏腑,,,
B,手少阴心经与手太阳小肠经的交接位置,食指端,小指端,胸中,目外眦,无名指端,,,
E,下列说法错误的是,肺者，相傅之官，治节出焉,心者，君主之官，神明出焉,肝者，将军之官，谋虑出焉,胆为中正之官，决断出焉,三焦者，州都之官，津液藏焉,,,
C,项强不适，兼头晕者，多属,风寒外袭,火邪上攻,阴虚阳亢,心血瘀阻,肝阳上亢,,,
E,下列属于阳证的是,食少乏味,倦怠无力,身体蜷卧,呼吸怯弱,小便短赤涩痛,,,
D,带下腥而清稀者，多属,热证,寒证,湿热,寒湿,癌症,,,
C,饥不欲食兼见胃中有嘈杂、灼热感，舌红少苔，脉细数者多见于,胃强脾弱,脾胃湿热,胃阴不足,肝胃蕴热,胃火亢盛,,,
C,不属于血虚证临床表现的是,唇甲色淡,面色淡白,倦怠乏力,手足发麻,心悸多梦,,,
D,外感风寒或风热之邪，或痰湿壅肺，肺失宣肃，导致的音哑或失音，这种现象称为,少气,短气,子喑,金实不鸣,金破不鸣,,,
A,亡阴之汗的特点是,汗热而黏如油,汗热味淡不黏,汗冷味淡不黏,汗冷味淡而黏,恶寒战栗汗出,,,
A,患者恶寒发热，头身疼痛，喷嚏，鼻塞，流涕，咽喉痒痛，微有咳嗽、气喘，舌淡红，苔薄，脉浮。属,表证,里证,寒证,热证,阴证,,,
A,体弱气虚者其坐姿为,坐而喜俯,坐而喜仰,坐卧不安,但卧不得坐,但坐不得卧,,,
B,相兼脉主病中沉涩脉主,痰热,血瘀,痰火,湿热,阴虚火旺,,,
B,寒湿困脾证与湿热蕴脾证均有的表现是,身热不扬,脘腹痞闷,面黄不泽,口渴喜饮,白带量多,,,
A,临床表现主要为胃脘嘈杂，饥不欲食、干呕呃逆，口燥咽干，舌红少苔，脉细数的证侯为,胃阴虚,胃阳虚,食滞胃脘,肝胃不和,肝脾不调,,,
A,面色淡黄，枯槁无华称为,萎黄,黄胖,阴黄,阳黄,黄疸,,,
B,形瘦多食者，多属于,中气虚弱,中焦有火,阴虚不足,阳气不足,痰湿内盛,,,
E,下列不属于气虚证临床表现的是,气短声低,精神疲惫,少气懒言,体倦乏力,脘腹坠胀感,,,
C,脾胃虚弱患者与正常人均可见的脉象表现是,沉脉,实脉,缓脉,长脉,滑脉,,,
B,下列相兼脉中，多见于外感热病的是,滑数脉,洪数脉,细数脉,弦数脉,弦滑脉,,,
C,以身热夜甚、心烦不寐、舌绛、脉细数为辨证要点的是,卫分证,气分证,营分证,血分证,以上均非,,,
C,下列因痰湿内阻所致的头晕特点为,头晕而胀，烦躁易怒,头晕胀痛，头重脚轻,头晕且重，如物裹缠,头晕耳鸣，腰酸遗精,头晕面白，神疲乏力,,,
D,皮肤突然鲜红成片，色如涂丹，边缘清楚，灼热肿胀发于头面者属于,丹毒,流火,赤游丹,抱头火丹,以上均非,,,
D,寒痰的咳痰特点是,咳吐脓血腥臭痰,痰中带血，色鲜红,痰少而黏，难于咯出,痰白而清稀，有灰黑点,痰白滑而量多，易咯出者,,,
C,下列各项中，以面色苍白、心悸、脉微或芤为主要表现的是,气虚证,气脱证,血脱证,血虚证,气不固证,,,
C,忧证的主要表现特点是,精神萎靡，头晕健忘,心悸失眠，疲乏少力,闷闷不乐，善叹息,烦躁易怒，面红目赤,胸闷胁胀，心悸失眠,,,
A,肾阳虚、肾阴虚、肾精不足、肾气不固证的共同表现是,腰膝酸软,眩晕耳鸣,梦遗失精,精神倦怠,浮肿少尿,,,
C,下列不会导致实证短气的是,痰饮,胃肠积滞,火盛,气滞,瘀阻,,,
B,下列各项，不属栀子主治病证的是,血淋涩痛,骨蒸潮热,火毒疮疡,湿热黄疸,血热吐衄,,,
C,辛夷入汤剂宜,冲服,后下,包煎,先煎,烊化,,,
C,下列药物中既能止咳平喘，又能润肠通便的为,薏苡仁,火麻仁,苦杏仁,郁李仁,酸枣仁,,,
C,下列具有散寒止痛，降逆止呕，助阳止泻功效的药物是,肉桂,干姜,吴茱萸,高良姜,附子,,,
C,下列药物中具有润肺清心，养阴生津功效的是,石斛,生地,麦冬,黄精,天冬,,,
A,具有补血活血，调经止痛，润肠通便功效的药物是,当归,白芍,三七,何首乌,阿胶,,,
B,下列具有解表退热功效的是,薄荷,柴胡,刺蒺藜,菟丝子,钩藤,,,
B,下列药物中，不具有行气，止痛功效的药物是,郁金,白前,三棱,姜黄,川芎,,,
E,具有养阴生津功效的药物是,牡丹皮,赤芍,紫草,金银花,生地黄,,,
D,补气养血药中加入适量肉桂，其主要目的为,补而不滞,发汗解表,引火归原,鼓舞气血生长,散寒止痛,,,
C,蒲黄的功效是,凉血，止血，利尿,活血，祛瘀，止痛,止血，化瘀，通淋,止血，化瘀，利尿,止血，消肿，生肌,,,
