标准答案,题干,选项A,选项B,选项C,选项D,选项E
D,与舌没有直接联系的脏是,肝,心,脾,肺,肾
A,生产、销售劣药的，没收违法生产、销售的药品和违法所得，并处违法生产、销售药品货值金额,1倍以上3倍以下的罚款,1倍以上5倍以下的罚款,2倍以上3倍以下的罚款,2倍以上5倍以下的罚款,3倍以上5倍以下的罚款
B,患儿男性，4岁，因“发热4天，高热持续，头痛剧烈，呕吐频繁，颈背强直，烦躁谵语，四肢抽搐”来诊。患儿喉中痰鸣，唇干渴饮，溲赤便结，舌质红绛，苔黄厚，脉数有力，指纹紫滞。治疗应首选的方剂是,犀角地黄汤,清瘟败毒饮,羚角钩藤汤,安宫牛黄丸,镇肝熄风汤
A,《素问·脉要精微论》认为，数脉主病是(   ),烦心,病进,阳盛,气高,气衰
B,补中益气汤中的君药是,白术,黄芪,当归,人参,柴胡
B,既可固表止汗，又可益气、除热的药物是,麻黄根,浮小麦,糯稻根须,五味子,五倍子
B,急惊风病位在,心脾,心肝,肝肾,肝脾,心肾
C,哪种肝炎病毒所致的急性肝炎最易转为慢性,甲肝病毒,乙肝病毒,丙肝病毒,丁肝病毒,戊肝病毒
E,四逆汤与四逆散二方组成中均含有的药物是,柴胡,枳实,干姜,芍药,甘草
C,正常成人每昼夜尿量范围是,1500～2500mL,1500～3000mL,1000～2000mL,2000～3000mL,2000～2500mL
A,下列符合房性早搏心电图表现的是,P'波提前出现，与窦性P波不同,代偿间期完全,QRS大于0.12s,提前出现的QRS波群无提前出现的P'波,P'-R间期小于0.12s
C,小儿常见的发病原因不包括,外感六淫,饮食内伤,情志所伤,胎产损伤,禀赋因素
D,关于求医行为，哪项最正确,求医行为的人肯定自觉有病,一个人身体出现病变时就会产生求医行为,求医行为主要取决于疾病的性质,求医行为受多种心理、社会因素的影响,以上都不是
C,桑白皮除泻肺平喘功效外，具有的功效是,降逆止呕,燥湿化痰,利水消肿,利尿通淋,清热利湿
B,患者，男，29岁，脘腹痞满胀痛，嗳腐吞酸，恶心呕吐，大便泄泻，舌苔厚腻，脉滑，宜首选,山楂配五倍子,山楂配莱菔子,山楂配青皮,山楂配佛手,山楂配麦芽
D,11个月男婴，于10月份发生水泻，伴发热、轻咳、呕吐。大便镜检见脂肪滴，白细胞0～2／HP。其最常见的病原体为(）,柯萨奇病毒,腺病毒,埃可病毒,轮状病毒,诺沃克病毒
A,患儿，出生3天。精神萎软，气弱声低，吮乳无力。查体：身长43cm，体重2100g。应首先考虑的诊断是,胎怯,疳证,五迟,口软,肌肉软
C,具有活血止痛、行气解郁、凉血清心、利胆退黄功效的药物是,丹参,川芎,郁金,益母草,玄参
A,既能解表散寒，祛风止痛，通鼻窍，又能燥湿止带、消肿排脓的药物是,白芷,荆芥,防风,苍术,羌活
C,太阴病的主要临床表现是,食纳减少,胸下结硬,腹满而吐,腹中冷痛,自利不渴
E,丈夫三八，则,肾气盛，齿更发长,肾气盛，天癸至,肾气实，发长齿更,筋骨坚，发长极，身体盛壮,肾气平均，筋骨劲强
A,主管生长发育是气的,推动作用,温煦作用,防御作用,固摄作用,气化作用
A,伤寒的特征性皮疹是,玫瑰疹,荨麻疹,斑疹,丘疹,斑丘疹
B,在药物治疗中，临床医生应遵循的道德要求不包括,节约费用，公正分配,积极使用贵重药物,对症下药，剂量适宜,根据患者的病情选择药物,合理配伍，预防药源性疾病
C,既能凉血止血，又能清热利尿，清肺胃热的药物是,大蓟,小蓟,白茅根,地榆,槐花
A,公民人人享有平等的生命健康权，这项患者权利是,平等医疗权,自主权,知情同意权,保密权,隐私权
D,下列不符合脊椎结核X线诊断依据的是,椎体骨质破坏,椎间隙变窄,椎旁软组织肿胀,骨质增生硬化,椎体骨质变形
C,“气之根”是指,脾,胃,肾,肝,肺
B,中枢性面瘫与周围性面瘫鉴别的关键是,口角是否下垂,眼睑是否闭合障碍,鼻唇沟是否变浅,是否能鼓腮,伸舌有无偏斜
